canonical_player_key,fplreview_id,fplreview_name,fplreview_team,fpl_position,statfootdb_player_id,statfootdb_player_name,match_method,match_score,identity_status,understat_player_id,understat_player_name,identity_source,allocation_source
fplreview:322,322,Al-Hamadi,IPS,FWD,1113688.0,Ali Al Hamadi,surname_or_fuzzy_team,0.93,statfootdb_matched,12751.0,Ali Al-Hamadi,statfootdb,understat_np_xg
fplreview:10054,10054,Cameron Humphreys,IPS,MID,,,,0.0,fplreview_only,,,,
fplreview:10055,10055,Harry Clarke,IPS,MID,1086712.0,Harry Clarke,exact_name_team,1.0,statfootdb_matched,13133.0,Harry Clarke,statfootdb,understat_np_xg
fplreview:385,385,Trafford,LEE,GKP,,,,0.0,fplreview_only,,,fplreview_supplement,position_fallback
fplreview:332,332,Justin,LEE,DEF,,,,0.0,fplreview_only,,,fplreview_supplement,position_fallback
fplreview:329,329,Rodon,LEE,DEF,,,,0.0,fplreview_only,,,fplreview_supplement,position_fallback
fplreview:334,334,Muharemović,LEE,DEF,,,,0.0,fplreview_only,,,fplreview_supplement,position_fallback
fplreview:338,338,Ampadu,LEE,MID,,,,0.0,fplreview_only,,,fplreview_supplement,position_fallback
fplreview:327,327,Bijol,LEE,DEF,,,,0.0,fplreview_only,,,fplreview_supplement,position_fallback
fplreview:330,330,Bogle,LEE,DEF,,,,0.0,fplreview_only,,,fplreview_supplement,position_fallback
fplreview:346,346,Calvert-Lewin,LEE,FWD,,,,0.0,fplreview_only,,,fplreview_supplement,position_fallback
fplreview:335,335,Stach,LEE,MID,,,,0.0,fplreview_only,,,fplreview_supplement,position_fallback
fplreview:260,260,Wilson,LEE,MID,,,,0.0,fplreview_only,,,fplreview_supplement,position_fallback
fplreview:336,336,Okafor,LEE,MID,,,,0.0,fplreview_only,,,fplreview_supplement,position_fallback
fplreview:337,337,Aaronson,LEE,MID,,,,0.0,fplreview_only,,,fplreview_supplement,position_fallback
fplreview:347,347,Nmecha,LEE,FWD,,,,0.0,fplreview_only,,,fplreview_supplement,position_fallback
fplreview:345,345,Tanaka,LEE,MID,,,,0.0,fplreview_only,,,fplreview_supplement,position_fallback
fplreview:339,339,Longstaff,LEE,MID,,,,0.0,fplreview_only,,,fplreview_supplement,position_fallback
fplreview:333,333,Bornauw,LEE,DEF,,,,0.0,fplreview_only,,,fplreview_supplement,position_fallback
fplreview:344,344,Gruev,LEE,MID,,,,0.0,fplreview_only,,,fplreview_supplement,position_fallback
fplreview:343,343,James,LEE,MID,,,,0.0,fplreview_only,,,fplreview_supplement,position_fallback
fplreview:341,341,Gnonto,LEE,MID,,,,0.0,fplreview_only,,,fplreview_supplement,position_fallback
fplreview:331,331,Gudmundsson,LEE,DEF,,,,0.0,fplreview_only,,,fplreview_supplement,position_fallback
fplreview:340,340,Gelhardt,LEE,MID,,,,0.0,fplreview_only,,,fplreview_supplement,position_fallback
fplreview:326,326,Perri,LEE,GKP,,,,0.0,fplreview_only,,,fplreview_supplement,position_fallback
fplreview:342,342,Harrison,LEE,MID,,,,0.0,fplreview_only,,,,
fplreview:348,348,Piroe,LEE,FWD,,,,0.0,fplreview_only,,,fplreview_supplement,position_fallback
fplreview:349,349,Mateo Joseph,LEE,FWD,,,,0.0,fplreview_only,,,,
fplreview:10056,10056,Alex Cairns,LEE,GKP,,,,0.0,fplreview_only,,,,
fplreview:10058,10058,Sam Byram,LEE,DEF,,,,0.0,fplreview_only,,,,
fplreview:10059,10059,Largie Ramazani,LEE,MID,,,,0.0,fplreview_only,,,,
fplreview:350,350,A.Becker,LIV,GKP,319784.0,Alisson Becker,surname_or_fuzzy_team,0.93,statfootdb_matched,,,statfootdb,statfootdb_goals
fplreview:356,356,Virgil,LIV,DEF,,,,0.0,fplreview_only,,,fplreview_supplement,position_fallback
fplreview:368,368,Szoboszlai,LIV,MID,846005.0,Dominik Szoboszlai,surname_or_fuzzy_team,0.93,statfootdb_matched,9788.0,Dominik Szoboszlai,statfootdb,understat_np_xg
fplreview:371,371,Gravenberch,LIV,MID,956683.0,Ryan Gravenberch,surname_or_fuzzy_team,0.93,statfootdb_matched,10697.0,Ryan Gravenberch,statfootdb,understat_np_xg
fplreview:366,366,Wirtz,LIV,MID,,,,0.0,fplreview_only,,,fplreview_supplement,position_fallback
fplreview:367,367,Gakpo,LIV,MID,806552.0,Cody Gakpo,surname_or_fuzzy_team,0.93,statfootdb_matched,11296.0,Cody Gakpo,statfootdb,understat_np_xg
fplreview:358,358,Kerkez,LIV,DEF,,,,0.0,fplreview_only,,,fplreview_supplement,position_fallback
fplreview:357,357,Frimpong,LIV,DEF,,,,0.0,fplreview_only,,,fplreview_supplement,position_fallback
fplreview:379,379,Isak,LIV,FWD,,,,0.0,fplreview_only,,,fplreview_supplement,position_fallback
fplreview:369,369,Ngumoha,LIV,MID,,,,0.0,fplreview_only,,,fplreview_supplement,position_fallback
fplreview:579,579,Araujo,LIV,DEF,,,,0.0,fplreview_only,,,fplreview_supplement,position_fallback
fplreview:373,373,C.Jones,LIV,MID,933768.0,Curtis Jones,surname_or_fuzzy_team,0.93,statfootdb_matched,6665.0,Curtis Jones,statfootdb,understat_np_xg
fplreview:362,362,Jacquet,LIV,DEF,,,,0.0,fplreview_only,,,fplreview_supplement,position_fallback
fplreview:364,364,Tsimikas,LIV,DEF,671529.0,Konstantinos Tsimikas,surname_or_fuzzy_team,0.93,statfootdb_matched,8852.0,Konstantinos Tsimikas,statfootdb,understat_np_xg
fplreview:372,372,Mac Allister,LIV,MID,831489.0,Alexis Mac Allister,surname_or_fuzzy_team,0.93,statfootdb_matched,8379.0,Alexis Mac Allister,statfootdb,understat_np_xg
fplreview:377,377,Munoz,LIV,MID,,,,0.0,fplreview_only,,,fplreview_supplement,position_fallback
fplreview:370,370,Chiesa,LIV,MID,784510.0,Federico Chiesa,surname_or_fuzzy_team,0.93,statfootdb_matched,1433.0,Federico Chiesa,statfootdb,understat_np_xg
fplreview:374,374,Endo,LIV,MID,202643.0,Wataru Endo,surname_or_fuzzy_team,0.93,statfootdb_matched,8808.0,Wataru Endo,statfootdb,understat_np_xg
fplreview:363,363,Leoni,LIV,DEF,,,,0.0,fplreview_only,,,fplreview_supplement,position_fallback
fplreview:375,375,Nyoni,LIV,MID,,,,0.0,fplreview_only,,,fplreview_supplement,position_fallback
fplreview:381,381,Koumas,LIV,MID,,,,0.0,fplreview_only,,,fplreview_supplement,position_fallback
fplreview:359,359,Gomez,LIV,DEF,568571.0,Joseph Gomez,surname_or_fuzzy_team,0.93,statfootdb_matched,987.0,Joseph Gomez,statfootdb,understat_np_xg
fplreview:351,351,Mamardashvili,LIV,GKP,,,,0.0,fplreview_only,,,fplreview_supplement,position_fallback
fplreview:352,352,Woodman,LIV,GKP,,,,0.0,fplreview_only,,,,
fplreview:353,353,Pecsi,LIV,GKP,,,,0.0,fplreview_only,,,,
fplreview:354,354,Jaros,LIV,GKP,1068920.0,Vitezslav Jaros,surname_or_fuzzy_team,0.93,statfootdb_matched,13103.0,Vítezslav Jaros,statfootdb,understat_np_xg
fplreview:355,355,Davies,LIV,GKP,,,,0.0,fplreview_only,,,,
fplreview:360,360,Bradley,LIV,DEF,1113690.0,Conor Bradley,surname_or_fuzzy_team,0.93,statfootdb_matched,10120.0,Conor Bradley,statfootdb,understat_np_xg
